Time	Y(t)
0	0
0.2	0.2
0.4	0.432
0.6	0.6576
0.8	0.87808
1	1.09446
1.2	1.30757
1.4	1.51806
1.6	1.72645
1.8	1.93316
2	2.13853
2.2	2.34282
2.4	2.54626
2.6	2.749
2.8	2.9512
3	3.15296
3.2	3.35437
3.4	3.5555
3.6	3.7564
3.8	3.95712
4	4.15769
4.2	4.35816
4.4	4.55852
4.6	4.75882
4.8	4.95906
5	5.15924
