Time	Y(t)
0	0
0.1	0.1
0.2	0.209
0.3	0.3171
0.4	0.42439
0.5	0.530951
0.6	0.636856
0.7	0.74217
0.8	0.846953
0.9	0.951258
1	1.05513
1.1	1.15862
1.2	1.26176
1.3	1.36458
1.4	1.46712
1.5	1.56941
1.6	1.67147
1.7	1.77332
1.8	1.87499
1.9	1.97649
2	2.07784
2.1	2.17906
2.2	2.28015
2.3	2.38114
2.4	2.48202
2.5	2.58282
2.6	2.68354
2.7	2.78419
2.8	2.88477
2.9	2.98529
3	3.08576
3.1	3.18618
3.2	3.28657
3.3	3.38691
3.4	3.48722
3.5	3.5875
3.6	3.68775
3.7	3.78797
3.8	3.88818
3.9	3.98836
4	4.08852
4.1	4.18867
4.2	4.2888
4.3	4.38892
4.4	4.48903
4.5	4.58913
4.6	4.68921
4.7	4.78929
4.8	4.88936
4.9	4.98943
5	5.08948
